country,transaction_id,source,product_type,amount,transaction_date,customer_id,payment_method,shipping_address,discount_code,tax_amount,shipping_cost
,1,in-store,groceries,464.78,4/15/2021,56,debit card,3 Cordelia Junction,WELCOME15,101.95,7.54
Slovenia,2,mobile app,groceries,6082.23,10/21/2021,90,debit card,31 Monterey Parkway,SUMMER20,388.28,37.3
Japan,3,mobile app,furniture,5903.37,3/12/2021,66,credit card,25121 Vermont Place,SALE10,204.92,25.7
Russia,4,mobile app,furniture,7580.31,8/2/2021,43,credit card,8 Birchwood Park,SUMMER20,421.76,1.01
Indonesia,5,in-store,furniture,6258.72,10/22/2021,33,debit card,38 Blackbird Lane,SUMMER20,239.62,36.82
,6,mobile app,clothing,7838.3,1/27/2021,40,mobile payment,2505 David Road,SALE10,444.86,32.34
China,7,in-store,clothing,9384.94,2/9/2021,135,credit card,1 Grim Hill,WELCOME15,123.31,0.09
Czech Republic,8,in-store,electronics,5408.19,10/20/2021,78,cash,236 Eliot Point,SUMMER20,290.46,27.93
Portugal,9,in-store,furniture,744.92,1/3/2021,58,debit card,9386 Warner Plaza,WELCOME15,415.33,10.72
Indonesia,10,mobile app,clothing,7829.84,11/4/2021,88,debit card,31251 Nancy Alley,WELCOME15,162.08,24.4
,11,in-store,groceries,8852.43,4/17/2021,11,debit card,4 Nobel Lane,WELCOME15,309.73,19.37
,12,in-store,clothing,3812.61,8/10/2021,117,mobile payment,95616 Arapahoe Alley,SUMMER20,365.37,49.64
Philippines,13,mobile app,groceries,2139.88,10/25/2021,106,credit card,54 Stuart Court,SUMMER20,432.2,44.34
China,14,in-store,groceries,775.59,10/20/2021,61,credit card,24590 Monterey Place,SUMMER20,444.53,34.85
,15,mobile app,furniture,7845.51,2/2/2021,98,cash,2 Lindbergh Road,WELCOME15,423.9,21.67
Ukraine,16,mobile app,furniture,6734.55,4/15/2021,29,cash,6 Hoard Trail,SALE10,156.42,8.51
China,17,mobile app,groceries,6162.8,10/8/2021,35,cash,95 Dakota Circle,WELCOME15,62.02,16.19
Portugal,18,in-store,groceries,741.61,4/28/2021,120,cash,6 Milwaukee Alley,SUMMER20,311.24,42.67
,19,mobile app,clothing,309.46,3/22/2021,142,debit card,43829 Dwight Way,SALE10,234.9,32.79
,20,in-store,electronics,498.95,11/9/2021,74,credit card,1495 Saint Paul Avenue,SALE10,51.31,40.65
Sweden,21,online,clothing,5039.19,8/21/2021,9,debit card,6194 Vernon Street,SUMMER20,139.21,30.52
,22,online,furniture,3481.8,9/13/2021,109,mobile payment,4 Buena Vista Avenue,SALE10,415.79,2.65
Poland,23,online,clothing,5445.16,10/13/2021,43,mobile payment,39399 Knutson Road,SUMMER20,377.1,29.58
Malaysia,24,in-store,furniture,1792.13,9/25/2021,67,mobile payment,1 Sutteridge Street,WELCOME15,60.79,37.62
Indonesia,25,mobile app,furniture,2818.92,7/4/2021,81,cash,20 Tomscot Circle,SUMMER20,52.67,18.99
Poland,26,online,electronics,3087.12,5/5/2021,46,debit card,08662 Almo Plaza,SUMMER20,53.96,32.23
,27,online,clothing,4208.75,9/26/2021,7,debit card,818 Grim Place,SALE10,373.44,16.21
Poland,28,in-store,groceries,5291.42,2/4/2021,123,credit card,9577 Sachs Crossing,WELCOME15,14.09,33.18
China,29,in-store,clothing,8346.07,4/11/2021,101,credit card,972 Grayhawk Pass,SUMMER20,367.59,17.27
,30,in-store,furniture,3655.96,5/21/2021,110,mobile payment,4877 Rutledge Street,WELCOME15,61.85,8.45
Indonesia,31,online,clothing,8038.6,2/13/2021,82,cash,99203 Dayton Lane,SUMMER20,161.22,20.52
,32,mobile app,electronics,781.9,10/5/2021,106,mobile payment,108 Daystar Park,SUMMER20,249.25,33.9
Belarus,33,in-store,groceries,76.59,3/8/2021,83,mobile payment,253 Pawling Trail,WELCOME15,133.19,32.9
Canada,34,mobile app,clothing,8566.41,8/31/2021,85,debit card,39200 Homewood Road,WELCOME15,203.65,21.62
United States,35,online,electronics,382.63,9/25/2021,28,credit card,909 Tomscot Park,SUMMER20,112.09,16.3
Afghanistan,36,online,groceries,6844.2,6/11/2021,32,cash,0747 Warner Street,WELCOME15,176.05,5.88
Russia,37,mobile app,groceries,76.79,10/21/2021,56,debit card,19420 Nevada Crossing,SUMMER20,124.08,48.22
,38,mobile app,electronics,4298.52,6/15/2021,93,mobile payment,27 Prairie Rose Park,SALE10,156.87,37.11
Kazakhstan,39,online,groceries,7202.38,2/7/2021,29,credit card,50 Annamark Circle,SUMMER20,211.05,14.42
China,40,mobile app,furniture,9062.12,9/2/2021,1,credit card,2 Buell Trail,WELCOME15,11.62,34.12
,41,in-store,groceries,100.19,4/11/2021,47,cash,009 Homewood Parkway,WELCOME15,270.99,43.63
China,42,in-store,clothing,4284.26,7/18/2021,37,debit card,309 Roth Court,SUMMER20,200.3,7.22
China,43,online,clothing,3689.16,12/2/2021,112,debit card,0274 Welch Terrace,SUMMER20,266.74,7.03
,44,mobile app,furniture,7973.36,12/14/2021,131,mobile payment,7452 Brown Road,SUMMER20,247.42,20.66
,45,in-store,clothing,9196.71,10/15/2021,97,credit card,8 Vidon Crossing,SALE10,97.83,20.83
,46,mobile app,clothing,3043.87,7/26/2021,63,mobile payment,0803 Hagan Hill,SALE10,64.04,13.5
Iran,47,online,groceries,6942.9,4/22/2021,53,mobile payment,7768 Loeprich Court,WELCOME15,378.94,36.43
Honduras,48,in-store,groceries,8984.87,5/15/2021,130,debit card,148 Division Junction,SALE10,136.32,23.74
Ivory Coast,49,online,electronics,7266.07,6/27/2021,60,debit card,68 Schurz Junction,SUMMER20,361.37,12.51
,50,in-store,clothing,8734.67,6/29/2021,82,credit card,57 Reindahl Court,SUMMER20,226.73,27.72
Indonesia,51,online,electronics,3365.46,1/14/2021,95,debit card,806 Muir Court,SUMMER20,399.5,26.57
China,52,mobile app,clothing,6056.52,7/23/2021,71,debit card,87 Charing Cross Circle,SALE10,256.9,29.26
Malaysia,53,in-store,furniture,2886.61,1/30/2021,27,mobile payment,9131 Clarendon Junction,SUMMER20,159.3,1.9
,54,in-store,clothing,9625.44,8/29/2021,82,debit card,15825 Northfield Drive,WELCOME15,393.83,3.5
China,55,in-store,furniture,4907.73,12/24/2021,128,debit card,84287 Upham Junction,WELCOME15,336.01,48.34
Morocco,56,online,furniture,6709.39,6/28/2021,39,credit card,452 Arkansas Alley,SUMMER20,197.71,14.51
Nigeria,57,in-store,furniture,1319.88,7/11/2021,118,cash,54763 Sachtjen Center,SUMMER20,137.59,10.61
,58,in-store,clothing,5707.1,1/17/2021,127,credit card,5563 Rigney Circle,SUMMER20,323.44,30.14
Norway,59,mobile app,groceries,4995.33,5/6/2021,135,credit card,9 Colorado Circle,WELCOME15,387.15,43.11
,60,in-store,groceries,8934.83,12/4/2021,113,mobile payment,3 Commercial Drive,SALE10,399.19,19.15
,61,in-store,clothing,5522.15,8/26/2021,52,mobile payment,432 Algoma Drive,WELCOME15,321.64,25.21
,62,mobile app,electronics,3111.06,4/18/2021,91,cash,4437 Glendale Court,SALE10,187.35,28.59
Zambia,63,online,groceries,2151.98,8/4/2021,89,cash,3636 Burrows Way,SALE10,218.66,27.34
United Kingdom,64,mobile app,furniture,7014.5,6/2/2021,110,credit card,483 Doe Crossing Street,SUMMER20,419.49,2.73
Chile,65,mobile app,electronics,6761.93,3/14/2021,127,cash,52998 Blaine Alley,SALE10,342.47,41.54
China,66,in-store,clothing,9101.04,12/28/2021,112,credit card,0265 Merchant Avenue,SUMMER20,141.18,46.17
Sweden,67,in-store,groceries,3634.03,9/4/2021,146,cash,92 Hansons Court,WELCOME15,428.9,37.94
Portugal,68,online,clothing,342.64,8/29/2021,42,credit card,15 Fairview Lane,SUMMER20,16.93,42.63
Russia,69,in-store,groceries,5457.39,8/2/2021,25,cash,9538 John Wall Avenue,WELCOME15,168.83,45.99
,70,online,clothing,2743.99,8/12/2021,140,debit card,4 Buhler Street,WELCOME15,136.91,29.46
Indonesia,71,mobile app,electronics,3464.8,3/5/2021,4,debit card,69 Namekagon Terrace,WELCOME15,400.5,11.31
Iraq,72,mobile app,groceries,4757.76,7/29/2021,12,debit card,3397 Ludington Avenue,WELCOME15,384.41,40.55
,73,in-store,clothing,5704.71,12/16/2021,54,mobile payment,2678 Vernon Trail,WELCOME15,80.15,38.36
France,74,mobile app,groceries,2337.52,10/4/2021,64,mobile payment,95 Ohio Park,WELCOME15,201.77,16.26
,75,mobile app,electronics,2821.55,2/22/2021,55,mobile payment,418 South Parkway,WELCOME15,42.74,43.11
Indonesia,76,online,groceries,7266.3,6/30/2021,48,debit card,17 Anzinger Place,WELCOME15,25.57,3.78
United Kingdom,77,in-store,clothing,6634.08,12/9/2021,113,debit card,1517 Lunder Plaza,SUMMER20,21.35,21.34
,78,in-store,groceries,7452.8,10/23/2021,88,credit card,1 Northwestern Park,SUMMER20,322.08,43.83
,79,in-store,groceries,9376.5,3/17/2021,85,debit card,33 American Crossing,WELCOME15,426.71,5.68
,80,mobile app,groceries,189.85,11/6/2021,41,debit card,881 Arapahoe Circle,SALE10,353.9,23.25
Greece,81,mobile app,groceries,40.25,12/23/2021,31,cash,8391 Crownhardt Drive,SUMMER20,148.24,1.85
Philippines,82,in-store,furniture,5386.91,10/1/2021,93,mobile payment,8081 Sutherland Hill,SALE10,90.38,48.01
United States,83,online,electronics,1424.01,7/28/2021,131,mobile payment,0361 Red Cloud Avenue,SUMMER20,187.84,10.65
,84,in-store,furniture,6040.09,1/24/2021,69,cash,5184 Rowland Center,SALE10,62.64,43.19
,85,in-store,electronics,3357.79,6/22/2021,150,credit card,9612 Shopko Avenue,WELCOME15,413.36,12.05
,86,in-store,electronics,6159.47,3/5/2021,19,debit card,1485 American Lane,SUMMER20,262.94,45.17
Canada,87,mobile app,groceries,8004.61,8/12/2021,120,mobile payment,0 Sachtjen Place,SALE10,349.57,34.27
China,88,online,furniture,5326.59,3/6/2021,122,credit card,54 Sugar Junction,WELCOME15,411.79,12.52
Indonesia,89,mobile app,furniture,5105.32,1/10/2021,56,credit card,9005 Tennyson Hill,SALE10,405.67,6.36
Chile,90,mobile app,clothing,6160.77,10/5/2021,30,mobile payment,4 Debra Circle,WELCOME15,270.77,24.72
Indonesia,91,in-store,electronics,9770.59,10/2/2021,69,cash,90 Bayside Place,WELCOME15,155.51,17.24
Philippines,92,mobile app,clothing,6902.43,5/9/2021,68,debit card,54857 8th Alley,SUMMER20,344.81,14.56
China,93,online,electronics,2764.54,7/3/2021,28,mobile payment,17486 Blue Bill Park Way,SUMMER20,444.96,36.66
,94,mobile app,furniture,615.12,10/13/2021,24,mobile payment,26 Elmside Place,SALE10,441.91,32.41
Nigeria,95,mobile app,clothing,9865.83,4/11/2021,66,mobile payment,7 Arrowood Avenue,SUMMER20,452.52,37.51
Indonesia,96,in-store,furniture,1257.47,4/1/2021,88,cash,465 Armistice Way,WELCOME15,423.48,11.11
Ukraine,97,in-store,electronics,6078.27,10/5/2021,120,cash,33588 Barby Court,SALE10,188.87,0.4
,98,in-store,clothing,9215.73,8/15/2021,19,debit card,6 Hoard Street,SUMMER20,324.56,8.26
Portugal,99,mobile app,groceries,9153.94,2/12/2021,3,debit card,95704 Chive Lane,WELCOME15,432.99,31.39
Norway,100,online,clothing,1580.08,3/3/2021,90,debit card,838 6th Way,SALE10,240.55,28.94
,101,online,electronics,4592.77,7/24/2021,20,cash,520 Parkside Drive,SALE10,195.55,33.93
,102,online,clothing,8152.48,9/7/2021,62,credit card,18 Westridge Place,SALE10,23.45,41.46
Sweden,103,mobile app,groceries,9991.86,6/2/2021,73,debit card,71 Gerald Lane,WELCOME15,339.15,28.21
United States,104,mobile app,clothing,9463.21,10/13/2021,22,debit card,47 Welch Plaza,WELCOME15,165.92,17.52
China,105,in-store,electronics,1971.61,5/15/2021,48,credit card,3 Gina Circle,WELCOME15,301.91,30.85
Bolivia,106,mobile app,groceries,7374.34,6/27/2021,52,debit card,694 Glendale Road,SALE10,197.21,38.3
,107,in-store,electronics,3969.05,11/23/2021,98,mobile payment,13449 Mendota Center,SUMMER20,30.31,49.32
Slovenia,108,in-store,electronics,3938.26,11/26/2021,147,credit card,2992 Esch Avenue,SALE10,491.22,37.69
,109,in-store,groceries,9954.39,11/14/2021,126,credit card,871 Warbler Circle,WELCOME15,392.47,9.32
,110,online,groceries,1565.82,9/24/2021,86,credit card,2 Macpherson Pass,WELCOME15,370.72,38.07
China,111,mobile app,clothing,5651.15,8/23/2021,104,mobile payment,72795 Forest Dale Place,WELCOME15,64.88,27.07
China,112,online,clothing,2599.37,3/6/2021,26,credit card,7459 Memorial Parkway,SALE10,418.44,12.82
Cuba,113,in-store,electronics,235.92,3/26/2021,107,debit card,11 Hintze Junction,SUMMER20,227.66,48.04
